/home/ccollins/allmols/8/noopt/cam/6hl13la6ea-6ia4dd-4aa4af4ae-.log,6hl13la6ea-6ia4dd-4aa4af4ae-,---,---,---,---,---,---,---,---,---,---
/home/ccollins/allmols/8/noopt/cam/4lf6aa-12lh12af-6fd4ih12hl6ei.log,4lf6aa-12lh12af-6fd4ih12hl6ei,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.53858671376,-1.06750258877,220,5.7811,-2869.8422996,1.1911,5.0
/home/ccollins/allmols/8/noopt/cam/4he4hf6ih12fe-13hl6fl-4di12lf.log,4he4hf6ih12fe-13hl6fl-4di12lf,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-2.93964579823,-0.968453151524,234,7.5038,-3040.364537,0.3050,5.51666666667
/home/ccollins/allmols/8/noopt/cam/6da12dh-12dh-6af4fi-4he-4fe12ae.log,6da12dh-12dh-6af4fi-4he-4fe12ae,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.25179708469,-1.89119117817,216,7.0872,-2808.2637802,1.8936,3.13333333333
/home/ccollins/allmols/8/noopt/cam/12id6eh-6el-13ee-13eh-6ad-13ih13ef-.log,12id6eh-6el-13ee-13eh-6ad-13ih13ef-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.77505363949,-1.60928124139,226,7.2827,-2880.2999274,0.5294,6.23333333333
/home/ccollins/allmols/8/noopt/cam/12hf12de-12da6ea12le-4hd-4ah6fi.log,12hf12de-12da6ea12le-4hd-4ah6fi,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.5995585704,-1.62669652706,217,12.5948,-2844.2977279,2.0884,4.36666666667
/home/ccollins/allmols/8/noopt/cam/12di12ah-6he6hd-12fa-12fl-13da4ed.log,12di12ah-6he6hd-12fa-12fl-13da4ed,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.22186456244,-1.43893797844,214,4.9247,-2840.3925944,2.1482,3.66666666667
/home/ccollins/allmols/8/noopt/cam/13ha13dd6ea-12hf-4ff-12fd13ei-6ii.log,13ha13dd6ea-12hf-4ff-12fd13ei-6ii,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.35900993709,-1.42614862802,212,12.0169,-2767.6583964,2.1295,3.5
/home/ccollins/allmols/8/noopt/cam/4ii12aa12af12ed13la-6al6de-12fd.log,4ii12aa12af12ed13la-6al6de-12fd,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.56770289449,-1.6030226231,208,5.2273,-2733.8000475,0.0293,6.6
/home/ccollins/allmols/8/noopt/cam/4lf13ea13hf13hl-4fd13fl-13ld-4hd.log,4lf13ea13hf13hl-4fd13fl-13ld-4hd,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.61341801937,-0.749129397624,230,14.3603,-3014.0360062,2.2861,4.61666666667
/home/ccollins/allmols/8/noopt/cam/12al4ha-6ae12ei4fa-12fi-12da-4ee.log,12al4ha-6ae12ei4fa-12fi-12da-4ee,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.64144574474,-1.33063667068,207,7.5419,-2650.2842473,0.0744,3.88333333333
